ucsc.5utr	ucsc.5utr.chr	ucsc.5utr.start	ucsc.5utr.end	ucsc.3utr	ucsc.3utr.chr	ucsc.3utr.start	ucsc.3utr.end
KIR2DS1	uc010yie.2	chr19_gl000209_random	70097	70107	uc010yie.2	chr19_gl000209_random	128941	129113
KIR2DL5B	uc002quk.1	chr19_gl000209_random	86691	86745	uc002quk.1	chr19_gl000209_random	95743	96246
KIR3DL2	uc002qup.1	chr19_gl000209_random	149189	149293	uc002qho.4	chr19	55378187	55378670
LOC100233156	uc003jaj.2	chrUn_gl000218	62409	97454	uc003jah.2	chrUn_gl000218	38786	39854
JB158072	NA	NA	NA	NA	uc022brg.1	chrUn_gl000220	151445	151466
JB074932	NA	NA	NA	NA	uc022brh.1	chrUn_gl000220	151509	151530
LOC100288966	uc011mfl.2	chrUn_gl000213	139288	139339	uc011mfl.2	chrUn_gl000213	108007	108025
MGC70870	NA	NA	NA	NA	uc002kgk.4	chr17_gl000205_random	116623	119732
LOC283788	uc011mfq.2	chrUn_gl000219	56349	99642	uc022brb.1	chrUn_gl000219	53809	54223
ZNF605	uc001ulk.1	chr12	133518710	133532592	uc011mge.2	chrUn_gl000223	149816	161369
BC062737	NA	NA	NA	NA	uc011mgf.1	chrUn_gl000223	150072	164052
ZNF84	uc001ulm.4	chr12	133613878	133618053	uc001ulm.4	chr12	133635519	133639885
ZNF26	uc031qkj.1	chr12	133562934	133563426	uc031qkj.1	chr12	133588068	133589154
LOC389831	uc003wok.2	chr7_gl000195_random	46400	86719	uc003woj.2	chr7_gl000195_random	42938	44723
DKFZp434B061	uc001vux.3	chrUn_gl000212	65184	65463	uc001vux.3	chrUn_gl000212	65920	66597
MIR4273	uc022brj.1	chrUn_gl000222	15194	15277	uc021xas.1	chr3	75787431	75787514
FLJ20518	uc003dpt.4	chr3	75713481	75713530	uc003dpt.4	chr3	75715193	75716368
JB074863	uc022brk.1	chrUn_gl000222	122791	122814	NA	NA	NA	NA
MGC39584	uc003izx.3	chr4_gl000193_random	49163	88375	NA	NA	NA	NA
MAFIP	uc003jab.3	chr4_gl000194_random	53589	115071	uc021xvt.2	chr4_gl000194_random	53589	55280
KIAA1864	uc010yih.2	chr1_gl000192_random	172868	211657	uc010yih.2	chr1_gl000192_random	132569	133477
HYDIN	uc010yij.1	chr1_gl000192_random	222732	373960	uc002ezw.4	chr16	71100380	71101140
DKFZp761B238	uc021vdl.1	chr1_gl000192_random	275497	407510	NA	NA	NA	NA
OR2J3	NA	NA	NA	NA	NA	NA	NA	NA
OR2J2	uc011dlm.2	chr6	29141311	29141412	NA	NA	NA	NA
OR14J1	NA	NA	NA	NA	NA	NA	NA	NA
OR12D2	uc003nmf.4	chr6	29364416	29364476	uc003nmf.4	chr6	29365401	29365448
OR10C1	uc011dlp.2	chr6	29407716	29407792	uc011dlp.2	chr6	29408732	29408754
OR2H1	uc011ehw.2	chr6_apd_hap1	729707	733024	uc003nmi.3	chr6	29430498	29432099
LOC100507362	NA	NA	NA	NA	uc021yts.1	chr6	29497183	29501345
SNORD32B	NA	NA	NA	NA	uc003nmq.3	chr6	29550029	29550105
OR2H2	uc003nmr.1	chr6	29555683	29555721	uc003nmr.1	chr6	29556661	29556745
MOG	uc011dlt.2	chr6	29624758	29627162	uc010klf.2	chr6	29624758	29632544
HLA-F	uc011hjf.1	chr6_mcf_hap5	991969	992503	uc011jdd.1	chr6_ssto_hap7	1028897	1044729
LOC554223	uc003nnt.3	chr6	29759683	29759784	uc011ejf.2	chr6_apd_hap1	1062750	1068972
HLA-G	uc031snb.1	chr6	29794756	29796339	uc011hjr.3	chr6_mcf_hap5	1098439	1359597
HLA-H	uc021ziw.1	chr6_apd_hap1	1097459	1097635	uc021zra.1	chr6_mcf_hap5	1096103	1358816
BC035647	NA	NA	NA	NA	uc011ejm.2	chr6_apd_hap1	1135922	1139325
HLA-A	uc021zrb.1	chr6_mcf_hap5	1150036	1292227	uc011hjw.3	chr6_mcf_hap5	1151754	1295564
HCG9	NA	NA	NA	NA	uc011iha.2	chr6_qbl_hap6	1235684	1238972
HLA-J	uc011ihe.2	chr6_qbl_hap6	1267134	1269015	uc003nou.4	chr6	29973748	29977733
ZNRD1	uc011ihi.2	chr6_qbl_hap6	1322037	1322303	uc003noz.3	chr6	30032475	30032686
PPP1R11	uc011grl.2	chr6_mann_hap4	1333524	1333780	uc011grm.2	chr6_mann_hap4	1333524	1336701
TRIM40	uc003npk.2	chr6	30103885	30104813	uc003npk.2	chr6	30115590	30116512
TRIM15	uc010jrx.3	chr6	30130983	30131461	uc010jrx.3	chr6	30140127	30140473
HLA-L	uc003npv.2	chr6	30227339	30228329	uc011gsf.1	chr6_mann_hap4	1575444	1608879
TRIM39	uc011ekz.2	chr6_apd_hap1	1605885	1608724	uc003npz.3	chr6	30310037	30311506
TRIM39-RPP21	uc010jsa.2	chr6	30297088	30297094	uc010jsa.2	chr6	30314588	30314635
RPP21	uc011gsp.2	chr6_mann_hap4	1660981	1661025	uc003nqf.2	chr6	30314551	30314635
HLA-E	uc003nqg.3	chr6	30457183	30457308	uc011dmg.2	chr6	30457183	30460360
PRR3	uc003nqi.2	chr6	30524486	30525121	uc003nqi.2	chr6	30530273	30532473
MIR877	NA	NA	NA	NA	uc021yud.1	chr6	30552109	30552194
ABCF1	uc003nqk.2	chr6	30539170	30539264	uc011eyl.2	chr6_cox_hap2	2070525	2071356
MRPS18B	uc003nqo.2	chr6	30585486	30585642	uc011dml.1	chr6	30592672	30594174
ATAT1	uc011dmm.2	chr6	30594663	30594980	uc003rdc.3	chr6	30610793	30612448
C6orf136	uc003nqx.4	chr6	30614816	30615008	uc003nqx.4	chr6	30620693	30620987
TUBB	uc011dmq.2	chr6	30689423	30690744	uc011ikh.2	chr6_qbl_hap6	1985106	1986127
MIR4640	NA	NA	NA	NA	uc021yue.1	chr6	30858660	30858749
DDR1	uc010jse.3	chr6	30850694	30856506	uc003nry.2	chr6	30864805	30867933
GTF2H4	uc011dmv.1	chr6	30875977	30877242	uc003nsa.1	chr6	30881761	30882814
VARS2	uc011fzl.2	chr6_dbb_hap3	2180651	2183847	uc011fzj.2	chr6_dbb_hap3	2176699	2188360
DPCR1	NA	NA	NA	NA	uc003nsg.2	chr6	30920895	30921998
MUC21	uc011ils.1	chr6_qbl_hap6	2244535	2247705	uc011hoe.1	chr6_mcf_hap5	2333496	2339626
MUC22	uc021zow.1	chr6_mann_hap4	2283511	2326817	uc021yug.1	chr6	31002716	31003179
HCG22	NA	NA	NA	NA	uc011emf.2	chr6_apd_hap1	2335936	2342365
PSORS1C1	uc011hoi.2	chr6_mcf_hap5	2464533	2479353	uc011ilv.2	chr6_qbl_hap6	2378426	2403713
TCF19	uc003nss.3	chr6	31126303	31127246	uc011fbu.2	chr6_cox_hap2	2645247	2646745
HCG27	uc011hpa.3	chr6_mcf_hap5	2547503	2552317	uc011dni.3	chr6	31170595	31171745
MICB	uc031sve.1	chr6_qbl_hap6	2461723	2767785	uc011jiu.2	chr6_ssto_hap7	2808490	2809708
MCCD1	uc003ntp.1	chr6	31496739	31496791	uc003ntp.1	chr6	31497713	31498008
NFKBIL1	uc011dnr.2	chr6	31514628	31515951	uc011dnt.1	chr6	31514628	31527677
LTA	uc011gbv.2	chr6_dbb_hap3	2825415	2826060	uc003nuf.3	chr6	31540705	31541629
TNF	uc003nuj.3	chr6	31544292	31545057	uc003nui.4	chr6	31545315	31546112
LST1	uc021yus.1	chr6	31553956	31555076	uc011gch.2	chr6_dbb_hap3	2839499	2842231
AIF1	uc010jsy.3	chr6	31582994	31583888	uc010jsy.3	chr6	31584288	31584798
SNORA38	NA	NA	NA	NA	uc003nvd.3	chr6	31590856	31590987
PRRC2A	uc011gcz.2	chr6_dbb_hap3	2874022	2876141	uc011dnv.1	chr6	31588450	31603049
APOM	uc003nvk.4	chr6	31620187	31624350	uc031sno.1	chr6	31620187	31625987
CSNK2B	uc011gdq.1	chr6_dbb_hap3	2919236	2920188	uc010jta.2	chr6	31635906	31636592
LY6G5B	uc031snu.1	chr6	31634598	31639039	uc031snr.1	chr6	31639642	31640227
LY6G6F	NA	NA	NA	NA	uc003nwa.1	chr6	31678369	31678372
LY6G6D	uc003nwg.1	chr6	31683133	31683286	NA	NA	NA	NA
C6orf25	uc021yux.1	chr6	31691121	31691160	uc011hba.2	chr6_mann_hap4	3035540	3037375
MSH5-SAPCD1	uc011jmz.2	chr6_ssto_hap7	3038543	3056718	uc011fhj.2	chr6_cox_hap2	3236788	3242211
HSPA1B	uc003nxk.2	chr6	31795512	31795727	uc011iry.1	chr6_qbl_hap6	3091305	3091686
HSPA1A	uc003nxj.3	chr6	31783291	31783533	uc003nxj.3	chr6	31785460	31785719
SNORD48	NA	NA	NA	NA	uc003nxo.1	chr6	31803040	31803103
SNORD52	NA	NA	NA	NA	uc003nxp.3	chr6	31804853	31804916
C6orf48	uc011eoe.2	chr6_apd_hap1	3117447	3119860	uc011eog.2	chr6_apd_hap1	3117447	3122295
C2	uc011ggr.1	chr6_dbb_hap3	3151144	3187036	uc003nye.4	chr6	31902215	31902835
CFB	uc011dos.1	chr6	31913721	31913998	uc011dos.1	chr6	31914455	31914897
SKIV2L	uc011dov.1	chr6	31926581	31928852	uc003nyn.1	chr6	31937493	31937532
STK19	uc003nyt.3	chr6	31938952	31939987	uc011hwl.1	chr6_mcf_hap5	3319923	3363278
C4A	uc011dpa.1	chr6	31950495	31950937	uc021yvg.1	chr6	31981167	31983434
C4B_2	uc011doy.2	chr6	31949834	31949884	uc003nyz.5	chr6	31968775	31970458
CYP21A2	uc021yvd.1	chr6	31973359	31973465	uc011hwm.2	chr6_mcf_hap5	3355551	3356556
CYP21A1P	uc021zul.1	chr6_qbl_hap6	3267201	3268037	uc021yve.1	chr6	31975247	31976712
PPT2	uc003nzx.3	chr6	32121776	32122371	uc011gjf.2	chr6_dbb_hap3	3400949	3404884
HCG23	NA	NA	NA	NA	uc021zso.1	chr6_mcf_hap5	3737844	3741026
HLA-DRA	uc003obh.3	chr6	32407619	32407727	uc011hek.2	chr6_mann_hap4	3753747	3754894
HLA-DQA1	uc003obr.3	chr6	32605183	32605235	uc003obs.3	chr6	32605183	32611429
HLA-DQA2	uc003obx.3	chr6	32709163	32709220	uc003obx.3	chr6	32714172	32714664
LOC100507463	NA	NA	NA	NA	uc021ywa.1	chr6	32811863	32814277
PSMB9	uc011dqj.2	chr6	32821938	32822006	uc011dqj.2	chr6	32826348	32826899
BRD2	uc011jtx.2	chr6_ssto_hap7	4369433	4423961	uc011foz.2	chr6_cox_hap2	4383203	4390705
HLA-DPB1	uc011dqq.1	chr6	33048449	33048660	uc021zqs.1	chr6_mann_hap4	4511562	4554476
JA611279	NA	NA	NA	NA	uc021ywi.1	chr6	33167337	33167410
SLC39A7	uc011dqv.2	chr6	33168603	33169113	uc003odf.3	chr6	33171591	33172214
HSD17B8	uc003odi.2	chr6	33172414	33172445	uc003odi.2	chr6	33174432	33174608
MIR219-1	NA	NA	NA	NA	uc003odj.1	chr6	33175612	33175721
RING1	uc011dqw.1	chr6	33176286	33176599	uc011dqw.1	chr6	33176963	33177467
HCG25	NA	NA	NA	NA	uc021ywj.1	chr6	33217313	33222667
RPS18	uc003odp.1	chr6	33239852	33239896	uc011ics.1	chr6_mcf_hap5	4713622	4718055
B3GALT4	uc003odr.3	chr6	33244917	33245196	uc003odr.3	chr6	33246334	33246602
PFDN6	uc010jup.2	chr6	33257374	33257633	uc010jup.2	chr6	33258623	33258711
LOC401242	uc011etc.1	chr6_cox_hap2	350248	354323	NA	NA	NA	NA
ZNF311	uc011eti.1	chr6_cox_hap2	486097	491902	uc011dlk.1	chr6	28962594	28962777
OR2W1	NA	NA	NA	NA	NA	NA	NA	NA
OR2B3	uc003nlx.3	chr6	29055026	29055090	uc003nlx.3	chr6	29053985	29054083
OR12D3	uc003nme.3	chr6	29343065	29343068	uc003nme.3	chr6	29341200	29342113
OR11A1	uc003nmg.3	chr6	29395419	29395509	uc003nmg.3	chr6	29393281	29394470
6M1-18	uc011hhr.1	chr6_mcf_hap5	698595	728030	NA	NA	NA	NA
MAS1L	NA	NA	NA	NA	NA	NA	NA	NA
UBD	uc003nmo.3	chr6	29527479	29527702	uc003nmo.3	chr6	29523389	29523656
GABBR1	uc011goy.2	chr6_mann_hap4	898376	903954	uc011eid.2	chr6_apd_hap1	826901	874861
ZFP57	uc011dlw.2	chr6	29644781	29644931	uc011dlw.2	chr6	29640169	29640276
HLA-F-AS1	uc011ifu.1	chr6_qbl_hap6	995239	1017689	NA	NA	NA	NA
IFITM4P	uc011evk.2	chr6_cox_hap2	1234756	1235098	NA	NA	NA	NA
HCG4	uc003nns.3	chr6	29758808	29760850	NA	NA	NA	NA
ZNRD1-AS1	uc011jeg.2	chr6_ssto_hap7	1298115	1359404	uc011ihh.2	chr6_qbl_hap6	1315373	1317738
RNF39	uc003npd.3	chr6	30043567	30043628	uc003npd.3	chr6	30038043	30038887
TRIM31	uc011exb.2	chr6_cox_hap2	1582796	1592995	uc003npg.1	chr6	30070674	30071312
TRIM10	uc003npn.2	chr6	30128636	30128711	uc011hle.2	chr6_mcf_hap5	1501607	1503631
TRIM26	uc011jfe.2	chr6_ssto_hap7	1487474	1511683	uc003npr.3	chr6	30152232	30153652
HCG17	uc031srf.1	chr6_apd_hap1	1442004	1605540	NA	NA	NA	NA
HCG18	uc003npx.3	chr6	30255174	30294933	NA	NA	NA	NA
GNL1	uc011eli.2	chr6_apd_hap1	1820798	1832978	uc011dmi.2	chr6	30509155	30513848
PPP1R10	uc011hlz.2	chr6_mcf_hap5	1954284	1966940	uc010jsc.2	chr6	30568177	30569325
DHX16	uc003nqz.3	chr6	30640619	30640830	uc003nqy.3	chr6	30620896	30621018
PPP1R18	uc011jha.1	chr6_ssto_hap7	1976470	1979473	uc003nra.3	chr6	30644166	30645045
NRM	uc031sni.1	chr6	30655824	30659058	uc031snj.1	chr6	30655824	30657817
MDC1	uc011jhd.1	chr6_ssto_hap7	2014117	2017308	uc003nrf.4	chr6	30667584	30668241
FLOT1	uc003nrm.3	chr6	30709967	30710453	uc003nrm.3	chr6	30695511	30695892
IER3	uc003nrn.3	chr6	30712296	30712327	uc003nrn.3	chr6	30710976	30711712
SFTA2	uc003nsf.3	chr6	30899874	30899952	uc003nsf.3	chr6	30899127	30899264
C6orf15	NA	NA	NA	NA	uc003nsk.1	chr6	31079000	31079157
CDSN	uc003nsm.2	chr6	31088197	31088252	uc003nsm.2	chr6	31082865	31083801
PSORS1C2	uc003nso.4	chr6	31106804	31107127	uc003nso.4	chr6	31105311	31105727
CCHCR1	uc011fbs.2	chr6_cox_hap2	2639569	2640772	uc011dne.2	chr6	31110216	31110368
POU5F1	uc011fbx.2	chr6_cox_hap2	2648480	2649380	uc003nsu.3	chr6	31132114	31132377
PSORS1C3	uc011hoz.1	chr6_mcf_hap5	2523453	2527623	NA	NA	NA	NA
HLA-C	uc011gat.1	chr6_dbb_hap3	2532721	2533864	uc021yuk.1	chr6	31236526	31236945
DDX39B	uc011dnq.1	chr6	31504277	31509925	uc003ntw.2	chr6	31501775	31503005
SNORD117	uc003nty.1	chr6	31504151	31504226	NA	NA	NA	NA
SNORD84	uc010jsq.1	chr6	31508878	31508955	NA	NA	NA	NA
ATP6V1G2-DDX39B	uc003ntv.3	chr6	31508310	31514625	uc003ntv.3	chr6	31497996	31498210
ATP6V1G2	uc003ntz.3	chr6	31513946	31514625	uc003ntz.3	chr6	31512228	31513184
LTB	uc003nuk.3	chr6	31550195	31550202	uc011gce.1	chr6_dbb_hap3	2833876	2834481
NCR3	uc003nuw.2	chr6	31560499	31560762	uc003nuw.2	chr6	31556660	31556970
BAG6	uc011ipm.1	chr6_qbl_hap6	2913171	2914115	uc011fff.2	chr6_cox_hap2	3116416	3116522
C6orf47	uc003nvm.1	chr6	31627725	31628549	uc011ffo.1	chr6_cox_hap2	3135693	3136458
GPANK1	uc011gdp.2	chr6_dbb_hap3	2917835	2919640	uc011ipv.2	chr6_qbl_hap6	2922643	2923684
LY6G5C	uc011gdw.1	chr6_dbb_hap3	2930041	2937398	uc003nvu.2	chr6	31644461	31644733
MIR4646	uc021yuw.1	chr6	31668806	31668868	NA	NA	NA	NA
ABHD16A	uc011jly.2	chr6_ssto_hap7	2990475	3012659	uc003nvx.2	chr6	31654726	31654988
LY6G6E	uc011dob.1	chr6	31679753	31681842	uc003nwe.2	chr6	31680118	31680315
LY6G6C	uc010jtd.3	chr6	31686425	31689511	uc003nwh.3	chr6	31686425	31686872
DDAH2	uc003nwq.3	chr6	31696939	31698039	uc003nwp.3	chr6	31694817	31695013
CLIC1	uc011fhb.1	chr6_cox_hap2	3213699	3214716	uc003nwr.3	chr6	31698358	31698618
VWA7	uc011huj.1	chr6_mcf_hap5	3116491	3124805	uc003nxd.2	chr6	31734022	31734023
VARS	uc011doi.1	chr6	31749468	31763712	uc011jnf.2	chr6_ssto_hap7	3076107	3076182
LSM2	uc003nxg.3	chr6	31774535	31774761	uc003nxg.3	chr6	31765169	31765533
HSPA1L	uc010jte.3	chr6	31779750	31783501	uc003nxh.3	chr6	31777396	31777823
NEU1	uc003nxq.4	chr6	31830554	31830709	uc003nxq.4	chr6	31826829	31827495
SLC44A4	uc011dol.2	chr6	31843643	31845448	uc011isk.2	chr6_qbl_hap6	3124760	3125194
EHMT2	uc011eou.2	chr6_apd_hap1	3175401	3179362	uc003nyb.1	chr6	31863178	31864012
ZBTB12	uc011isw.1	chr6_qbl_hap6	3162875	3163563	uc003nyd.1	chr6	31867394	31867702
MIR1236	uc021yvc.1	chr6	31924616	31924717	NA	NA	NA	NA
NELFE	uc003nyk.3	chr6	31926224	31926864	uc003nyk.3	chr6	31919864	31920077
DOM3Z	uc003nyq.1	chr6	31938418	31940032	uc010jtl.1	chr6	31938219	31939092
TNXB	uc010jts.1	chr6	32065973	32085471	uc021yvf.2	chr6	31976197	31978566
ATF6B	uc003nzp.1	chr6	32087634	32088197	uc003nzo.3	chr6	32083045	32083515
FKBPL	uc003nzr.3	chr6	32097558	32098067	uc003nzr.3	chr6	32096484	32096507
PRRT1	uc011fkw.2	chr6_cox_hap2	3590271	3591528	uc003nzs.3	chr6	32116140	32116998
LOC100507547	uc021zln.1	chr6_cox_hap2	3591246	3592810	NA	NA	NA	NA
C6orf10	uc021zxo.1	chr6_ssto_hap7	3658819	3670888	uc021yvs.1	chr6	32260475	32260757
BTNL2	uc011heh.2	chr6_mann_hap4	3705349	3717760	NA	NA	NA	NA
HLA-DRB1	uc011jsi.2	chr6_ssto_hap7	3899304	3984714	uc021zxt.1	chr6_ssto_hap7	3850434	3934616
HLA-DQB1	uc011gkb.2	chr6_dbb_hap3	3906301	3908687	uc011fnt.2	chr6_cox_hap2	4072511	4073283
HLA-DQB2	uc003oby.4	chr6	32731248	32731330	uc011gkg.1	chr6_dbb_hap3	4006440	4007576
HLA-DOB	uc003oca.3	chr6	32784729	32784825	uc003oca.3	chr6	32780540	32780992
TAP2	uc011ixo.1	chr6_qbl_hap6	4038117	4038655	uc003occ.3	chr6	32793187	32796682
PSMB8	uc003ocf.3	chr6	32812191	32812712	uc011dqh.2	chr6	32809700	32810545
TAP1	uc011dqi.2	chr6	32820275	32820535	uc011dqi.2	chr6	32812986	32813355
HLA-DMB	uc011ese.2	chr6_apd_hap1	4189390	4191647	uc003ocj.2	chr6	32902410	32906365
HLA-DMA	uc003ocm.2	chr6	32920814	32920899	uc011dqm.1	chr6	32917412	32918272
HLA-DOA	uc010juj.3	chr6	32976031	32977389	uc011ibe.1	chr6_mcf_hap5	4308822	4311477
HLA-DPA1	uc021zjz.1	chr6_apd_hap1	4328149	4335362	uc003ocs.2	chr6	33032346	33036426
COL11A2	uc011jun.1	chr6_ssto_hap7	4628946	4637414	uc010jul.1	chr6	33130469	33131454
RXRB	uc011dqu.2	chr6	33168214	33168473	uc011izg.3	chr6_qbl_hap6	4393584	4394681
VPS52	uc003odn.1	chr6	33236964	33239739	uc003odm.1	chr6	33218049	33218617
WDR46	uc010juo.1	chr6	33254572	33256471	uc011dra.2	chr6	33246880	33247052
RGL2	uc003odw.3	chr6	33264548	33267165	uc003odu.3	chr6	33259431	33259878
TAPBP	uc003odx.2	chr6	33281819	33282164	uc011fre.2	chr6_cox_hap2	4711286	4713357
ZBTB22	uc011frl.2	chr6_cox_hap2	4728506	4729534	uc003oeb.3	chr6	33282182	33282788
DAXX	uc011frm.2	chr6_cox_hap2	4733143	4734611	uc021zmo.1	chr6_cox_hap2	4730149	4730339
MICA	uc021zpe.1	chr6_mann_hap4	2713997	2816340	uc021yun.1	chr6	31380209	31383090
MSH5	uc011irn.1	chr6_qbl_hap6	3005962	3014812	NA	NA	NA	NA
PPT2-EGFL8	uc021zlq.1	chr6_cox_hap2	3592444	3594168	uc011flb.2	chr6_cox_hap2	3592444	3610436
EGFL8	uc011epn.1	chr6_apd_hap1	3447122	3448683	uc003oac.1	chr6	32135734	32136313
RNF5	uc003oaj.4	chr6	32146162	32146288	uc031snv.1	chr6	32151170	32151930
HLA-DPB2	uc021zkb.1	chr6_apd_hap1	4330504	4330622	uc021zsz.2	chr6_mcf_hap5	4380558	4421814
KIFC1	uc003oef.4	chr6	33359313	33359762	uc003oef.4	chr6	33377468	33377699
TRIM27	uc011hhh.2	chr6_mcf_hap5	174342	178604	uc003nlt.1	chr6	28870780	28876555
HCG4B	uc011igo.1	chr6_qbl_hap6	1187016	1188075	NA	NA	NA	NA
HLA-B	uc011hpq.1	chr6_mcf_hap5	2702036	2703160	uc003ntg.1	chr6	31321649	31322259
BC013828	uc021zty.1	chr6_qbl_hap6	2643206	2643563	NA	NA	NA	NA
AGPAT1	uc003oah.3	chr6	32139274	32145888	uc003oae.3	chr6	32135983	32137052
AGER	uc003oao.2	chr6	32148745	32152099	uc021yvm.1	chr6	32148745	32149329
PBX2	uc003oav.1	chr6	32157693	32157963	uc003oav.1	chr6	32152510	32154158
GPSM3	uc003oaz.3	chr6	32160291	32163300	uc003oay.4	chr6	32158543	32159142
NOTCH4	uc011hdy.2	chr6_mann_hap4	3505441	3534689	uc011dpt.2	chr6	32162620	32163793
HLA-DRB3	uc011fnl.2	chr6_cox_hap2	4011460	4011553	uc011fni.1	chr6_cox_hap2	3934127	3934443
XB	uc011eoz.1	chr6_apd_hap1	3361614	3363941	uc011eoz.1	chr6_apd_hap1	3356184	3356184
AX747809	NA	NA	NA	NA	uc011gqu.2	chr6_mann_hap4	1188313	1191712
OR5V1	uc011dlo.2	chr6	29323973	29324054	NA	NA	NA	NA
HLA-DRB4	uc011hzq.2	chr6_mcf_hap5	3897222	3897292	uc011hzq.2	chr6_mcf_hap5	3882324	3882640
GPX5	uc003nll.2	chr6	28493789	28493790	uc003nln.2	chr6	28496108	28502728
DQ580344	NA	NA	NA	NA	uc021zki.1	chr6_cox_hap2	1413911	1413935
HCP5	NA	NA	NA	NA	uc003ntl.3	chr6	31430957	31433586
SCAND3	uc003nlo.3	chr6	28554495	28555112	uc003nlo.3	chr6	28539407	28539687
AK098012	uc011ezx.1	chr6_cox_hap2	2294528	2310496	uc003nrp.1	chr6	30780643	30781987
DQ-A1	uc011hzr.1	chr6_mcf_hap5	3944087	3944105	uc011hzr.1	chr6_mcf_hap5	3949363	3949896
TNXA	uc021zrz.1	chr6_mcf_hap5	3405740	3406008	NA	NA	NA	NA
HLA-DQB	uc011hzu.2	chr6_mcf_hap5	3961839	3964231	uc011hzx.2	chr6_mcf_hap5	3961833	3966798
BC068238	NA	NA	NA	NA	uc021zvt.1	chr6_ssto_hap7	1098047	1100970
RP	NA	NA	NA	NA	uc011jpk.2	chr6_ssto_hap7	3313877	3314671
C4B	uc011jpm.2	chr6_ssto_hap7	3315282	3315332	uc011jpp.3	chr6_ssto_hap7	3334223	3335906
PHF1	uc010jux.3	chr6	33378773	33381525	uc011drh.2	chr6	33378773	33384230
SYNGAP1	uc003oeo.2	chr6	33387847	33388041	uc010juz.3	chr6	33415671	33421466
MIR5004	NA	NA	NA	NA	uc031snz.1	chr6	33406108	33406214
ZBTB9	uc003oeq.3	chr6	33422356	33422877	uc003oeq.3	chr6	33424300	33425320
HLA-DRB5	uc021zxw.1	chr6_ssto_hap7	3935734	3936832	uc003obj.3	chr6	32485154	32485515
CUTA	uc003oem.1	chr6	33385446	33386065	uc003oej.1	chr6	33384319	33384426
MIR3648	NA	NA	NA	NA	uc021wgv.1	chr21	9825832	9826011
MIR3687	NA	NA	NA	NA	uc021wgw.1	chr21	9826203	9826263
ANKRD30BP2	NA	NA	NA	NA	uc002yja.4	chr21	14410487	14490571
POTED	uc002yjb.1	chr21	14982498	14982549	uc002yjb.1	chr21	15013888	15013906
BC048201	NA	NA	NA	NA	uc002yjk.3	chr21	15399742	15516778
BC024173	NA	NA	NA	NA	uc002yjl.3	chr21	15399742	15516860
RBM11	uc002yjn.4	chr21	15588466	15596768	uc002yjo.4	chr21	15599615	15600693
ABCC13	uc010gkx.3	chr21	15646120	15660862	uc002yjs.3	chr21	15646120	15710337
SAMSN1-AS1	NA	NA	NA	NA	uc031ruw.1	chr21	15954523	15970624
USP25	uc002yjy.1	chr21	17102496	17102712	uc002yjy.1	chr21	17250795	17252377
LINC00478	NA	NA	NA	NA	uc002ykb.2	chr21	17442842	17982094
MIR99A	NA	NA	NA	NA	uc002ykd.1	chr21	17911409	17911489
