ID	HGNC.symbol	rmspe.ratio.avg	initial.predictor.n	selected.predictor.n	predictor	estimate	estimate.sd	best.site.qv	cor.estimate.best.site.qv	cor.pv
ID5	PPP2R5D	1.34	23	23	ID5195|HNRNPA2B1	-0.115	0.00642	0.0531	0.0441	0.845
ID5	PPP2R5D	1.34	23	23	ID5866|HNRNPH1	-0.112	0.0156	0.0139	0.0441	0.845
ID5	PPP2R5D	1.34	23	23	ID6113|NCL	-0.0396	0.00944	0.118	0.0441	0.845
ID5	PPP2R5D	1.34	23	23	ID10357|NONO	0.0599	0.00537	0.101	0.0441	0.845
ID5	PPP2R5D	1.34	23	23	ID10395|SRSF2	0.00212	0.00347	0.0336	0.0441	0.845
ID5	PPP2R5D	1.34	23	23	ID10525|HNRNPF	0.0795	0.00545	0.0139	0.0441	0.845
ID5	PPP2R5D	1.34	23	23	ID10589|SRSF1	0.0895	0.0118	0.0398	0.0441	0.845
ID5	PPP2R5D	1.34	23	23	ID10884|SRSF3	-0.0528	0.0113	0.145	0.0441	0.845
ID5	PPP2R5D	1.34	23	23	ID23008|RBM14	0.0521	0.00284	0.168	0.0441	0.845
ID8	PFDN1	1.26	19	19	rna	0.0208	0.00395	NA	-0.685	0.0017
ID8	PFDN1	1.26	19	19	ID107|RBM8A	0.0657	0.00821	0.0989	-0.685	0.0017
ID8	PFDN1	1.26	19	19	ID260|RBM4	0.0221	0.00164	0.0556	-0.685	0.0017
ID8	PFDN1	1.26	19	19	ID657|ACO1	0.0789	0.00325	0.00682	-0.685	0.0017
ID8	PFDN1	1.26	19	19	ID673|KHDRBS1	-0.0162	0.00349	0.189	-0.685	0.0017
ID8	PFDN1	1.26	19	19	ID980|PCBP2	0.0834	0.0041	0.0558	-0.685	0.0017
ID8	PFDN1	1.26	19	19	ID998|SNRPA	0.0851	0.00348	0.0102	-0.685	0.0017
ID8	PFDN1	1.26	19	19	ID1328|PCBP1	0.0982	0.00378	0.0458	-0.685	0.0017
ID8	PFDN1	1.26	19	19	ID1706|MBNL1	0.106	0.00603	0.0303	-0.685	0.0017
ID8	PFDN1	1.26	19	19	ID3144|DAZAP1	-0.0332	0.00706	0.193	-0.685	0.0017
ID8	PFDN1	1.26	19	19	ID3437|PTBP1	0.0402	0.00235	0.118	-0.685	0.0017
ID8	PFDN1	1.26	19	19	ID3576|HNRNPK	0.0437	0.00402	0.108	-0.685	0.0017
ID8	PFDN1	1.26	19	19	ID3816|EIF2S1	0.0572	0.00347	0.0905	-0.685	0.0017
ID8	PFDN1	1.26	19	19	ID4041|SNRNP70	0.0129	0.00401	0.168	-0.685	0.0017
ID8	PFDN1	1.26	19	19	ID5866|HNRNPH1	-0.0388	0.00555	0.134	-0.685	0.0017
ID8	PFDN1	1.26	19	19	ID10395|SRSF2	0.115	0.00932	0.00988	-0.685	0.0017
ID8	PFDN1	1.26	19	19	ID10525|HNRNPF	0.0316	0.0046	0.134	-0.685	0.0017
ID8	PFDN1	1.26	19	19	ID10589|SRSF1	-0.00629	0.00301	0.00931	-0.685	0.0017
ID8	PFDN1	1.26	19	19	ID23008|RBM14	0.0222	0.00163	0.0556	-0.685	0.0017
ID21	ZC3H15	1.2	16	16	rna	0.0461	0.00208	NA	-0.143	0.61
ID21	ZC3H15	1.2	16	16	ID107|RBM8A	0.0585	0.00479	0.0782	-0.143	0.61
ID21	ZC3H15	1.2	16	16	ID260|RBM4	0.0282	0.00261	0.0819	-0.143	0.61
ID21	ZC3H15	1.2	16	16	ID448|SART3	0.0138	0.00219	0.148	-0.143	0.61
ID21	ZC3H15	1.2	16	16	ID662|PABPC1	0.084	0.0135	0.148	-0.143	0.61
ID21	ZC3H15	1.2	16	16	ID673|KHDRBS1	0.0493	0.00283	0.167	-0.143	0.61
ID21	ZC3H15	1.2	16	16	ID998|SNRPA	0.019	0.00386	0.194	-0.143	0.61
ID21	ZC3H15	1.2	16	16	ID1328|PCBP1	0.0365	0.00513	0.0339	-0.143	0.61
ID21	ZC3H15	1.2	16	16	ID1423|SYNCRIP	0.0199	0.00513	0.0473	-0.143	0.61
ID21	ZC3H15	1.2	16	16	ID1706|MBNL1	0.0571	0.00764	0.133	-0.143	0.61
ID21	ZC3H15	1.2	16	16	ID3437|PTBP1	0.0832	0.00872	0.0489	-0.143	0.61
ID21	ZC3H15	1.2	16	16	ID6707|MATR3	0.0565	0.00506	0.0823	-0.143	0.61
ID21	ZC3H15	1.2	16	16	ID10395|SRSF2	-0.029	0.0133	0.165	-0.143	0.61
ID21	ZC3H15	1.2	16	16	ID10589|SRSF1	0.0138	0.00147	0.013	-0.143	0.61
ID21	ZC3H15	1.2	16	16	ID10884|SRSF3	0.0485	0.00692	0.104	-0.143	0.61
ID21	ZC3H15	1.2	16	16	ID23008|RBM14	0.0281	0.00264	0.0819	-0.143	0.61
ID24	HINT2	1.07	25	25	rna	0.0811	0.00635	NA	0.336	0.109
ID24	HINT2	1.07	25	25	ID107|RBM8A	-0.00854	0.00856	0.194	0.336	0.109
ID24	HINT2	1.07	25	25	ID260|RBM4	0.00894	0.00344	0.111	0.336	0.109
ID24	HINT2	1.07	25	25	ID448|SART3	0.0407	0.00835	0.0725	0.336	0.109
ID24	HINT2	1.07	25	25	ID657|ACO1	0.0299	0.00506	0.102	0.336	0.109
ID24	HINT2	1.07	25	25	ID662|PABPC1	-0.0139	0.00413	0.0725	0.336	0.109
ID24	HINT2	1.07	25	25	ID673|KHDRBS1	-0.0587	0.0114	0.0262	0.336	0.109
ID24	HINT2	1.07	25	25	ID713|G3BP2	-0.0994	0.0174	0.061	0.336	0.109
ID24	HINT2	1.07	25	25	ID980|PCBP2	-0.00582	0.00495	0.0814	0.336	0.109
ID24	HINT2	1.07	25	25	ID983|EIF4B	0.0329	0.0062	0.151	0.336	0.109
ID24	HINT2	1.07	25	25	ID998|SNRPA	-0.00994	0.00379	0.0954	0.336	0.109
ID24	HINT2	1.07	25	25	ID1328|PCBP1	-0.000174	0.00353	0.143	0.336	0.109
ID24	HINT2	1.07	25	25	ID1423|SYNCRIP	0.061	0.0114	0.072	0.336	0.109
ID24	HINT2	1.07	25	25	ID1706|MBNL1	0.0136	0.00195	0.0271	0.336	0.109
ID24	HINT2	1.07	25	25	ID2056|TARDBP	0.0993	0.00884	0.143	0.336	0.109
ID24	HINT2	1.07	25	25	ID2227|HNRNPL	-0.0161	0.00706	0.0393	0.336	0.109
ID24	HINT2	1.07	25	25	ID3509|HNRNPA1	0.204	0.0209	0.104	0.336	0.109
ID24	HINT2	1.07	25	25	ID3816|EIF2S1	0.0811	0.0105	0.183	0.336	0.109
ID24	HINT2	1.07	25	25	ID5195|HNRNPA2B1	0.0864	0.00712	0.0624	0.336	0.109
ID24	HINT2	1.07	25	25	ID5866|HNRNPH1	0.0037	0.0025	0.191	0.336	0.109
ID24	HINT2	1.07	25	25	ID10357|NONO	-0.00896	0.00217	0.0681	0.336	0.109
ID24	HINT2	1.07	25	25	ID10395|SRSF2	-0.0231	0.00638	0.0247	0.336	0.109
ID24	HINT2	1.07	25	25	ID10525|HNRNPF	0.0855	0.00996	0.191	0.336	0.109
ID24	HINT2	1.07	25	25	ID10589|SRSF1	0.00717	0.00514	0.00413	0.336	0.109
ID24	HINT2	1.07	25	25	ID23008|RBM14	0.00918	0.00345	0.111	0.336	0.109
ID26	RPL5	1.07	12	12	rna	-0.0319	0.00617	NA	-0.337	0.31
ID26	RPL5	1.07	12	12	ID673|KHDRBS1	0.022	0.00483	0.173	-0.337	0.31
ID26	RPL5	1.07	12	12	ID713|G3BP2	-0.011	0.00321	0.0481	-0.337	0.31
ID26	RPL5	1.07	12	12	ID998|SNRPA	0.0464	0.00416	0.0537	-0.337	0.31
ID26	RPL5	1.07	12	12	ID1423|SYNCRIP	0.0103	0.0035	0.119	-0.337	0.31
ID26	RPL5	1.07	12	12	ID1706|MBNL1	0.0257	0.00372	0.166	-0.337	0.31
ID26	RPL5	1.07	12	12	ID2227|HNRNPL	0.0646	0.00611	0.0917	-0.337	0.31
ID26	RPL5	1.07	12	12	ID2455|U2AF2	0.0305	0.00321	0.113	-0.337	0.31
ID26	RPL5	1.07	12	12	ID3576|HNRNPK	0.0104	0.0014	0.196	-0.337	0.31
ID26	RPL5	1.07	12	12	ID6113|NCL	-0.0193	0.00638	0.119	-0.337	0.31
ID26	RPL5	1.07	12	12	ID10395|SRSF2	0.0527	0.00571	0.0425	-0.337	0.31
ID26	RPL5	1.07	12	12	ID10589|SRSF1	0.0452	0.00206	0.0324	-0.337	0.31
ID32	UAP1	1.01	16	16	rna	0.435	0.00702	NA	0.0668	0.813
ID32	UAP1	1.01	16	16	ID107|RBM8A	0.0455	0.00531	0.0732	0.0668	0.813
ID32	UAP1	1.01	16	16	ID260|RBM4	0.0487	0.00314	0.0136	0.0668	0.813
ID32	UAP1	1.01	16	16	ID657|ACO1	0.116	0.00456	0.198	0.0668	0.813
ID32	UAP1	1.01	16	16	ID983|EIF4B	0.039	0.00916	0.0217	0.0668	0.813
ID32	UAP1	1.01	16	16	ID998|SNRPA	-0.0718	0.00586	0.0902	0.0668	0.813
ID32	UAP1	1.01	16	16	ID1706|MBNL1	0.071	0.00473	0.086	0.0668	0.813
ID32	UAP1	1.01	16	16	ID2227|HNRNPL	-0.0618	0.0052	0.0568	0.0668	0.813
ID32	UAP1	1.01	16	16	ID2455|U2AF2	0.151	0.0102	0.0429	0.0668	0.813
ID32	UAP1	1.01	16	16	ID3437|PTBP1	-0.0333	0.00945	0.165	0.0668	0.813
ID32	UAP1	1.01	16	16	ID3576|HNRNPK	0.0818	0.00359	0.199	0.0668	0.813
ID32	UAP1	1.01	16	16	ID5866|HNRNPH1	-0.0234	0.00885	0.0964	0.0668	0.813
ID32	UAP1	1.01	16	16	ID10395|SRSF2	0.0315	0.00507	0.0701	0.0668	0.813
ID32	UAP1	1.01	16	16	ID10525|HNRNPF	0.038	0.0109	0.0964	0.0668	0.813
ID32	UAP1	1.01	16	16	ID10589|SRSF1	0.034	0.00569	0.101	0.0668	0.813
ID32	UAP1	1.01	16	16	ID23008|RBM14	0.0491	0.00313	0.0136	0.0668	0.813
ID35	AIFM1	1.2	19	19	rna	0.101	0.00399	NA	-0.131	0.605
ID35	AIFM1	1.2	19	19	ID448|SART3	0.0481	0.00187	0.0731	-0.131	0.605
ID35	AIFM1	1.2	19	19	ID662|PABPC1	0.0982	0.00499	0.0731	-0.131	0.605
ID35	AIFM1	1.2	19	19	ID713|G3BP2	0.0734	0.00423	0.0796	-0.131	0.605
ID35	AIFM1	1.2	19	19	ID892|SFPQ	0.0531	0.00142	0.135	-0.131	0.605
ID35	AIFM1	1.2	19	19	ID980|PCBP2	0.0122	0.0021	0.0815	-0.131	0.605
ID35	AIFM1	1.2	19	19	ID998|SNRPA	0.0149	0.00219	0.00399	-0.131	0.605
ID35	AIFM1	1.2	19	19	ID1328|PCBP1	0.0154	0.00337	0.075	-0.131	0.605
ID35	AIFM1	1.2	19	19	ID1423|SYNCRIP	0.0738	0.00531	0.0748	-0.131	0.605
ID35	AIFM1	1.2	19	19	ID2950|PSPC1	0.026	0.00353	0.135	-0.131	0.605
ID35	AIFM1	1.2	19	19	ID3144|DAZAP1	-0.00786	0.00206	0.173	-0.131	0.605
ID35	AIFM1	1.2	19	19	ID3437|PTBP1	0.0204	0.00118	0.11	-0.131	0.605
ID35	AIFM1	1.2	19	19	ID3816|EIF2S1	0.0478	0.00275	0.099	-0.131	0.605
ID35	AIFM1	1.2	19	19	ID4041|SNRNP70	0.0386	0.000454	0.0778	-0.131	0.605
ID35	AIFM1	1.2	19	19	ID5866|HNRNPH1	0.0197	0.00148	0.109	-0.131	0.605
ID35	AIFM1	1.2	19	19	ID6113|NCL	0.0626	0.00302	0.111	-0.131	0.605
ID35	AIFM1	1.2	19	19	ID10395|SRSF2	0.0411	0.00146	0.0229	-0.131	0.605
ID35	AIFM1	1.2	19	19	ID10525|HNRNPF	0.0342	0.00149	0.109	-0.131	0.605
ID35	AIFM1	1.2	19	19	ID10589|SRSF1	0.0193	0.000695	0.0302	-0.131	0.605
ID39	USP15	1.2	15	15	rna	0.172	0.0127	NA	-0.214	0.462
ID39	USP15	1.2	15	15	ID260|RBM4	0.0271	0.00301	0.124	-0.214	0.462
ID39	USP15	1.2	15	15	ID448|SART3	0.253	0.0142	0.0929	-0.214	0.462
ID39	USP15	1.2	15	15	ID662|PABPC1	0.122	0.00738	0.0929	-0.214	0.462
ID39	USP15	1.2	15	15	ID673|KHDRBS1	0.0299	0.00462	0.13	-0.214	0.462
ID39	USP15	1.2	15	15	ID980|PCBP2	0.101	0.00513	0.00879	-0.214	0.462
ID39	USP15	1.2	15	15	ID998|SNRPA	-0.0201	0.00781	0.118	-0.214	0.462
ID39	USP15	1.2	15	15	ID1328|PCBP1	0.0412	0.01	0.0202	-0.214	0.462
ID39	USP15	1.2	15	15	ID1706|MBNL1	0.0725	0.00833	0.146	-0.214	0.462
ID39	USP15	1.2	15	15	ID2455|U2AF2	0.0774	0.00236	0.0684	-0.214	0.462
ID39	USP15	1.2	15	15	ID3437|PTBP1	-0.0262	0.00528	0.173	-0.214	0.462
ID39	USP15	1.2	15	15	ID3576|HNRNPK	-0.0398	0.00691	0.035	-0.214	0.462
ID39	USP15	1.2	15	15	ID10395|SRSF2	0.0415	0.00564	0.0454	-0.214	0.462
ID39	USP15	1.2	15	15	ID10589|SRSF1	-0.045	0.00553	0.129	-0.214	0.462
ID39	USP15	1.2	15	15	ID23008|RBM14	0.0268	0.00298	0.124	-0.214	0.462
ID42	CRYZ	1.04	18	18	rna	0.43	0.0354	NA	-0.283	0.27
ID42	CRYZ	1.04	18	18	ID448|SART3	-0.0312	0.0157	0.1	-0.283	0.27
ID42	CRYZ	1.04	18	18	ID662|PABPC1	-0.0961	0.0288	0.0609	-0.283	0.27
ID42	CRYZ	1.04	18	18	ID673|KHDRBS1	0.0663	0.00725	0.188	-0.283	0.27
ID42	CRYZ	1.04	18	18	ID892|SFPQ	0.107	0.0136	0.0684	-0.283	0.27
ID42	CRYZ	1.04	18	18	ID980|PCBP2	0.0951	0.00902	0.162	-0.283	0.27
ID42	CRYZ	1.04	18	18	ID983|EIF4B	0.00983	0.00431	0.145	-0.283	0.27
ID42	CRYZ	1.04	18	18	ID998|SNRPA	0.0827	0.00579	0.0719	-0.283	0.27
ID42	CRYZ	1.04	18	18	ID1423|SYNCRIP	-0.0958	0.0207	0.0956	-0.283	0.27
ID42	CRYZ	1.04	18	18	ID2227|HNRNPL	0.085	0.0159	0.101	-0.283	0.27
ID42	CRYZ	1.04	18	18	ID2455|U2AF2	0.177	0.0383	0.0764	-0.283	0.27
ID42	CRYZ	1.04	18	18	ID2950|PSPC1	0.0528	0.00676	0.0684	-0.283	0.27
ID42	CRYZ	1.04	18	18	ID3144|DAZAP1	-0.14	0.0317	0.0969	-0.283	0.27
ID42	CRYZ	1.04	18	18	ID3437|PTBP1	0.165	0.0304	0.0579	-0.283	0.27
ID42	CRYZ	1.04	18	18	ID3576|HNRNPK	-0.149	0.0391	0.18	-0.283	0.27
ID42	CRYZ	1.04	18	18	ID4041|SNRNP70	-0.0649	0.0136	0.0695	-0.283	0.27
ID42	CRYZ	1.04	18	18	ID10395|SRSF2	0.289	0.0363	0.0522	-0.283	0.27
ID42	CRYZ	1.04	18	18	ID10589|SRSF1	0.0429	0.00731	0.019	-0.283	0.27
ID43	PSMB6	1.42	13	13	rna	0.0302	0.00275	NA	-0.207	0.518
ID43	PSMB6	1.42	13	13	ID657|ACO1	0.0677	0.00448	0.0416	-0.207	0.518
ID43	PSMB6	1.42	13	13	ID713|G3BP2	0.0411	0.00144	0.171	-0.207	0.518
ID43	PSMB6	1.42	13	13	ID998|SNRPA	0.156	0.00467	0.0315	-0.207	0.518
ID43	PSMB6	1.42	13	13	ID1296|FXR1	0.0579	0.00461	0.0554	-0.207	0.518
ID43	PSMB6	1.42	13	13	ID1423|SYNCRIP	0.0264	0.000615	0.0133	-0.207	0.518
ID43	PSMB6	1.42	13	13	ID1706|MBNL1	0.093	0.00452	0.179	-0.207	0.518
ID43	PSMB6	1.42	13	13	ID5866|HNRNPH1	0.0202	0.00304	0.0664	-0.207	0.518
ID43	PSMB6	1.42	13	13	ID6113|NCL	0.0483	0.000948	0.096	-0.207	0.518
ID43	PSMB6	1.42	13	13	ID6707|MATR3	0.046	0.00239	0.166	-0.207	0.518
ID43	PSMB6	1.42	13	13	ID10395|SRSF2	0.153	0.00405	0.00381	-0.207	0.518
ID43	PSMB6	1.42	13	13	ID10525|HNRNPF	0.0276	0.00392	0.0664	-0.207	0.518
ID43	PSMB6	1.42	13	13	ID10589|SRSF1	0.0419	0.00352	0.00174	-0.207	0.518
ID44	YWHAE	1.89	15	15	rna	0.0589	0.00696	NA	0.0365	0.901
ID44	YWHAE	1.89	15	15	ID980|PCBP2	0.119	0.00225	0.0127	0.0365	0.901
ID44	YWHAE	1.89	15	15	ID998|SNRPA	0.0998	0.0038	0.0766	0.0365	0.901
ID44	YWHAE	1.89	15	15	ID1296|FXR1	0.0548	0.00474	0.172	0.0365	0.901
ID44	YWHAE	1.89	15	15	ID1328|PCBP1	0.106	0.00118	0.0978	0.0365	0.901
ID44	YWHAE	1.89	15	15	ID1423|SYNCRIP	-0.025	0.00308	0.123	0.0365	0.901
ID44	YWHAE	1.89	15	15	ID1928|RBM3	0.0627	0.00428	0.101	0.0365	0.901
ID44	YWHAE	1.89	15	15	ID2455|U2AF2	0.0523	0.00231	0.0162	0.0365	0.901
ID44	YWHAE	1.89	15	15	ID3437|PTBP1	0.0504	0.00188	0.0466	0.0365	0.901
ID44	YWHAE	1.89	15	15	ID3576|HNRNPK	0.11	0.00308	0.11	0.0365	0.901
ID44	YWHAE	1.89	15	15	ID3816|EIF2S1	0.0785	0.00208	0.0849	0.0365	0.901
ID44	YWHAE	1.89	15	15	ID5866|HNRNPH1	0.0159	0.00239	0.0302	0.0365	0.901
ID44	YWHAE	1.89	15	15	ID10395|SRSF2	0.105	0.00349	0.0926	0.0365	0.901
ID44	YWHAE	1.89	15	15	ID10525|HNRNPF	0.0516	0.00228	0.0302	0.0365	0.901
ID44	YWHAE	1.89	15	15	ID10589|SRSF1	0.000821	0.00365	0.0381	0.0365	0.901
ID47	LASP1	1.21	18	18	rna	0.237	0.0117	NA	0.554	0.0211
ID47	LASP1	1.21	18	18	ID107|RBM8A	0.131	0.0136	0.103	0.554	0.0211
ID47	LASP1	1.21	18	18	ID260|RBM4	-0.0322	0.0043	0.0753	0.554	0.0211
ID47	LASP1	1.21	18	18	ID673|KHDRBS1	0.155	0.00427	0.182	0.554	0.0211
ID47	LASP1	1.21	18	18	ID980|PCBP2	0.0439	0.00608	0.0271	0.554	0.0211
ID47	LASP1	1.21	18	18	ID998|SNRPA	0.208	0.0166	0.198	0.554	0.0211
ID47	LASP1	1.21	18	18	ID1328|PCBP1	0.0807	0.00957	0.0781	0.554	0.0211
ID47	LASP1	1.21	18	18	ID2056|TARDBP	0.0932	0.0222	0.195	0.554	0.0211
ID47	LASP1	1.21	18	18	ID3437|PTBP1	0.0344	0.00315	0.0406	0.554	0.0211
ID47	LASP1	1.21	18	18	ID3509|HNRNPA1	0.0361	0.0098	0.174	0.554	0.0211
ID47	LASP1	1.21	18	18	ID3576|HNRNPK	0.0131	0.0144	0.122	0.554	0.0211
ID47	LASP1	1.21	18	18	ID3816|EIF2S1	0.162	0.02	0.0539	0.554	0.0211
ID47	LASP1	1.21	18	18	ID4041|SNRNP70	-0.0419	0.00883	0.103	0.554	0.0211
ID47	LASP1	1.21	18	18	ID5195|HNRNPA2B1	0.0751	0.0035	0.15	0.554	0.0211
ID47	LASP1	1.21	18	18	ID5866|HNRNPH1	-0.0583	0.00525	0.0334	0.554	0.0211
ID47	LASP1	1.21	18	18	ID10525|HNRNPF	-0.083	0.0162	0.0334	0.554	0.0211
ID47	LASP1	1.21	18	18	ID10589|SRSF1	0.00864	0.00494	0.0135	0.554	0.0211
ID47	LASP1	1.21	18	18	ID23008|RBM14	-0.0321	0.00429	0.0753	0.554	0.0211
ID49	VARS	1.53	19	19	rna	0.097	0.00801	NA	-0.127	0.615
ID49	VARS	1.53	19	19	ID673|KHDRBS1	0.0353	0.00285	0.0291	-0.127	0.615
ID49	VARS	1.53	19	19	ID713|G3BP2	0.0274	0.00351	0.0717	-0.127	0.615
ID49	VARS	1.53	19	19	ID892|SFPQ	0.0496	0.00262	0.179	-0.127	0.615
ID49	VARS	1.53	19	19	ID980|PCBP2	0.0862	0.00275	0.0571	-0.127	0.615
ID49	VARS	1.53	19	19	ID998|SNRPA	0.049	0.00264	0.0629	-0.127	0.615
ID49	VARS	1.53	19	19	ID1328|PCBP1	0.0909	0.00421	0.118	-0.127	0.615
ID49	VARS	1.53	19	19	ID1423|SYNCRIP	0.0559	0.00204	0.168	-0.127	0.615
ID49	VARS	1.53	19	19	ID2227|HNRNPL	0.072	0.00324	0.0702	-0.127	0.615
ID49	VARS	1.53	19	19	ID2455|U2AF2	0.0962	0.00378	0.0386	-0.127	0.615
ID49	VARS	1.53	19	19	ID2950|PSPC1	-0.0268	0.00582	0.179	-0.127	0.615
ID49	VARS	1.53	19	19	ID3437|PTBP1	0.033	0.0014	0.0963	-0.127	0.615
ID49	VARS	1.53	19	19	ID3509|HNRNPA1	0.0152	0.00272	0.131	-0.127	0.615
ID49	VARS	1.53	19	19	ID3576|HNRNPK	0.0699	0.00247	0.144	-0.127	0.615
ID49	VARS	1.53	19	19	ID5195|HNRNPA2B1	-0.000868	0.00549	0.124	-0.127	0.615
ID49	VARS	1.53	19	19	ID5866|HNRNPH1	-0.0269	0.00206	0.0215	-0.127	0.615
ID49	VARS	1.53	19	19	ID10395|SRSF2	0.128	0.00568	0.0569	-0.127	0.615
ID49	VARS	1.53	19	19	ID10525|HNRNPF	0.0148	0.00249	0.0215	-0.127	0.615
ID49	VARS	1.53	19	19	ID10589|SRSF1	0.0449	0.00513	0.061	-0.127	0.615
ID50	PRDX1	1.49	22	22	rna	0.0421	0.00518	NA	0.221	0.337
ID50	PRDX1	1.49	22	22	ID260|RBM4	0.0541	0.00196	0.198	0.221	0.337
ID50	PRDX1	1.49	22	22	ID892|SFPQ	0.0176	0.0011	0.0288	0.221	0.337
ID50	PRDX1	1.49	22	22	ID980|PCBP2	0.116	0.00709	0.123	0.221	0.337
ID50	PRDX1	1.49	22	22	ID983|EIF4B	0.0818	0.00492	0.0502	0.221	0.337
ID50	PRDX1	1.49	22	22	ID998|SNRPA	0.058	0.00286	0.0476	0.221	0.337
ID50	PRDX1	1.49	22	22	ID1328|PCBP1	0.0774	0.00277	0.0157	0.221	0.337
ID50	PRDX1	1.49	22	22	ID1706|MBNL1	0.0369	0.00312	0.0868	0.221	0.337
ID50	PRDX1	1.49	22	22	ID2056|TARDBP	0.0524	0.00191	0.175	0.221	0.337
ID50	PRDX1	1.49	22	22	ID2227|HNRNPL	0.00331	0.00379	0.0538	0.221	0.337
ID50	PRDX1	1.49	22	22	ID2455|U2AF2	0.0262	0.00179	0.0247	0.221	0.337
ID50	PRDX1	1.49	22	22	ID2950|PSPC1	-0.00237	0.00272	0.0288	0.221	0.337
ID50	PRDX1	1.49	22	22	ID3144|DAZAP1	-0.0344	0.00382	0.0338	0.221	0.337
ID50	PRDX1	1.49	22	22	ID3437|PTBP1	0.0223	0.00134	0.0418	0.221	0.337
ID50	PRDX1	1.49	22	22	ID3509|HNRNPA1	0.0832	0.00307	0.0811	0.221	0.337
ID50	PRDX1	1.49	22	22	ID3576|HNRNPK	0.0563	0.00286	0.144	0.221	0.337
ID50	PRDX1	1.49	22	22	ID5866|HNRNPH1	-0.0249	0.00269	0.0467	0.221	0.337
ID50	PRDX1	1.49	22	22	ID6707|MATR3	0.0113	0.00408	0.136	0.221	0.337
ID50	PRDX1	1.49	22	22	ID10395|SRSF2	0.098	0.00435	0.0106	0.221	0.337
ID50	PRDX1	1.49	22	22	ID10525|HNRNPF	-0.0343	0.00252	0.0467	0.221	0.337
ID50	PRDX1	1.49	22	22	ID10589|SRSF1	0.0952	0.00259	0.059	0.221	0.337
ID50	PRDX1	1.49	22	22	ID23008|RBM14	0.0541	0.00196	0.198	0.221	0.337
ID51	HYOU1	1.29	21	21	rna	0.0954	0.00704	NA	-0.0159	0.947
ID51	HYOU1	1.29	21	21	ID107|RBM8A	0.0108	0.00446	0.166	-0.0159	0.947
