ID	IPI	HGNC.symbol	Ensembl.Gene.ID	Chromosome.Name	Gene.Start..bp.	Gene.End..bp.	Strand
ID94	IPI00791509	NEDD1	ENSG00000139350	12	97301001	97347129	1
ID95	IPI00641937	TTLL10	ENSG00000162571	1	1109264	1133315	1
ID96	IPI00153053	CALR3	ENSG00000269058	19	16589868	16607003	-1
ID97	IPI00043749	C10orf25	ENSG00000165511	10	45493146	45496336	-1
ID98	IPI00514913	ETV3	ENSG00000117036	1	157090983	157108266	-1
ID99	IPI00065461	KLHL10	ENSG00000261631	HG185_PATCH	39991937	40004636	1
ID100	IPI00022654	TM2D3	ENSG00000184277	15	102161847	102192594	-1
ID101	IPI00796662	ZNF485	ENSG00000198298	10	44101855	44113351	1
ID102	IPI00477716	WDR17	ENSG00000150627	4	176986985	177103978	1
ID103	IPI00293085	MFSD6L	ENSG00000185156	17	8700436	8702667	-1
ID104	IPI01018633	CDH23	ENSG00000107736	10	73156691	73575702	1
ID105	IPI00845337	ANKAR	ENSG00000151687	2	190539016	190625919	1
ID106	IPI00796004	MEGF11	ENSG00000263138	HSCHR15_1_CTG8	66187417	66558222	-1
ID107	IPI00005660	GPR182	ENSG00000166856	12	57388230	57390468	1
ID108	IPI00166966	ESX1	ENSG00000123576	X	103494719	103499614	-1
ID109	IPI00064793	C8orf12	ENSG00000184608	8	11225911	11296167	1
ID111	IPI00894146	DNAJC5G	ENSG00000163793	2	27498289	27504367	1
ID112	IPI00479508	WDR88	ENSG00000166359	19	33622996	33666701	1
ID113	IPI00168665	WDR88	ENSG00000166359	19	33622996	33666701	1
ID114	NA	PRUNE2	ENSG00000106772	9	79226292	79521003	-1
ID115	IPI00748493	MBD3L2	ENSG00000230522	19	7049332	7051746	1
ID116	IPI00414931	ADAMTSL1	ENSG00000178031	9	18473892	18910948	1
ID117	IPI00103478	MBD3L1	ENSG00000170948	19	8943074	8954016	1
ID118	IPI00646988	FAM46D	ENSG00000174016	X	79591003	79700810	1
ID119	IPI01018796	SERPINB11	ENSG00000206072	18	61314813	61391127	1
ID120	NA	LINC00161	ENSG00000226935	21	29911640	29912677	1
ID121	NA	DSCR10	ENSG00000233316	21	39578250	39580738	1
ID122	IPI00171692	ABHD11	ENSG00000106077	7	73150424	73153197	-1
ID123	IPI00014264	ACAP2	ENSG00000114331	3	194995465	195163807	-1
ID124	IPI00334683	GAMT	ENSG00000130005	19	1397091	1401569	-1
ID125	IPI00030182	GAMT	ENSG00000130005	19	1397091	1401569	-1
ID126	IPI00152701	PLCD3	ENSG00000161714	17	43186335	43210721	-1
ID127	IPI00024290	IRF6	ENSG00000117595	1	209959036	209979465	-1
ID128	IPI00646701	PTPRC	ENSG00000262418	HSCHR1_3_CTG31	198619288	198737899	1
ID129	IPI00009145	MAN1A2	ENSG00000198162	1	117910071	118071494	1
ID130	IPI00926192	RAPH1	ENSG00000173166	2	204259068	204400133	-1
ID131	IPI00152863	SMCR8	ENSG00000176994	17	18218624	18226517	1
ID132	IPI00375490	LACTB	ENSG00000103642	15	63413999	63434260	1
ID133	IPI00294186	LACTB	ENSG00000103642	15	63413999	63434260	1
ID134	IPI00304972	BNC1	ENSG00000169594	15	83924655	83953466	-1
ID135	IPI00917842	MPP4	ENSG00000082126	2	202509593	202563417	-1
ID136	IPI00166976	LACE1	ENSG00000135537	6	108616098	108847999	1
ID137	IPI00018740	IDI2	ENSG00000148377	10	1064847	1071799	-1
ID138	IPI00607879	CYP11B1	ENSG00000160882	8	143953772	143961262	-1
ID139	IPI00879798	TAF8	ENSG00000137413	6	42018251	42055199	1
ID140	IPI00807589	COBL	ENSG00000106078	7	51083909	51384515	-1
ID141	IPI00978623	SLAMF6	ENSG00000162739	1	160454820	160493052	-1
ID142	IPI00743346	ZSCAN20	ENSG00000121903	1	33938246	33962107	1
ID143	IPI00152620	GPBAR1	ENSG00000179921	2	219124219	219128582	1
ID144	IPI00922933	RHBDL2	ENSG00000158315	1	39351479	39407471	-1
ID145	IPI00983738	FRAS1	ENSG00000138759	4	78978724	79465423	1
ID146	IPI01025701	BRSK1	ENSG00000160469	19	55793440	55823901	1
ID147	IPI00410585	CRB2	ENSG00000148204	9	126118449	126142603	1
ID148	IPI00103336	KCNE4	ENSG00000152049	2	223916532	224063117	1
ID149	IPI00152018	CD300LG	ENSG00000161649	17	41924516	41940997	1
ID150	IPI00166053	SLC34A3	ENSG00000198569	9	140125209	140131006	1
ID151	IPI00168794	CPA6	ENSG00000165078	8	68334360	68658620	-1
ID152	IPI00152200	WBP2NL	ENSG00000183066	22	42394729	42454460	1
ID153	IPI00302302	HIPK1	ENSG00000163349	1	114471814	114520426	1
ID154	IPI00942467	HIPK1	ENSG00000163349	1	114471814	114520426	1
ID155	IPI00061277	MTBP	ENSG00000172167	8	121457640	121554373	1
ID156	IPI00654757	ACVR1C	ENSG00000123612	2	158383279	158485517	-1
ID157	IPI00043733	TMEM74	ENSG00000164841	8	109619079	109799844	-1
ID158	IPI00293368	TIGD4	ENSG00000169989	4	153690506	153700916	-1
ID159	IPI00328943	ART5	ENSG00000167311	11	3659733	3663546	-1
ID160	IPI00168667	FAM71C	ENSG00000180219	12	100041531	100043824	1
ID161	IPI00926843	C21orf67	ENSG00000183250	21	46352729	46359828	-1
ID162	IPI00643777	NLRP11	ENSG00000179873	19	56296770	56348166	-1
ID163	IPI00302644	ATP6V1C2	ENSG00000143882	2	10861775	10925236	1
ID164	IPI00922261	CLDN19	ENSG00000164007	1	43198764	43205925	-1
ID165	IPI00059472	VTI1A	ENSG00000151532	10	114206756	114578503	1
ID166	IPI00446729	KIF6	ENSG00000164627	6	39297766	39693181	-1
ID167	IPI00844424	IQCD	ENSG00000166578	12	113633246	113658899	-1
ID168	NA	TAGAP	ENSG00000164691	6	159455500	159466184	-1
ID169	IPI00160359	TAGAP	ENSG00000164691	6	159455500	159466184	-1
ID170	IPI01013065	STON2	ENSG00000140022	14	81727000	81902809	-1
ID171	IPI00219476	SERPINA12	ENSG00000165953	14	94953611	94984181	-1
ID172	IPI00985303	LETM2	ENSG00000165046	8	38243725	38267045	1
ID173	IPI00103841	BSND	ENSG00000162399	1	55464606	55476556	1
ID174	IPI00179249	CLEC4C	ENSG00000198178	12	7882011	7904201	-1
ID175	IPI00293227	NLRC4	ENSG00000091106	2	32449522	32490923	-1
ID176	IPI00168352	PRSS36	ENSG00000178226	16	31150246	31161415	-1
ID177	IPI00043440	ZDHHC15	ENSG00000102383	X	74588262	74743337	-1
ID178	IPI00789798	RAI1	ENSG00000108557	17	17584787	17714767	1
ID179	IPI00955397	CDK15	ENSG00000138395	2	202655184	202760273	1
ID180	IPI00783915	ZNF570	ENSG00000171827	19	37958487	37976260	1
ID183	IPI00872180	BTBD16	ENSG00000138152	10	124030821	124097677	1
ID184	IPI00027781	RTP3	ENSG00000163825	3	46538981	46542439	1
ID185	IPI00942229	TSPEAR	ENSG00000175894	21	45917775	46131495	-1
ID186	IPI00401800	MIPOL1	ENSG00000151338	14	37667118	38021566	1
ID187	IPI00982964	C6orf141	ENSG00000197261	6	49518113	49529620	1
ID188	NA	ALMS1P	ENSG00000163016	2	73872046	73912703	1
ID189	IPI00827784	MYO3B	ENSG00000071909	2	171034655	171511681	1
ID190	IPI00939528	ADAM21	ENSG00000139985	14	70918874	70926622	1
ID191	IPI01014212	TRIML2	ENSG00000179046	4	189012427	189030757	-1
ID192	NA	ABCC13	ENSG00000243064	21	15608527	15735075	1
ID193	IPI00297449	IL12RB1	ENSG00000096996	19	18169805	18209754	-1
ID194	IPI00965737	GTF2A1L	ENSG00000242441	2	48844937	48960287	1
ID195	IPI01014253	TRPV3	ENSG00000167723	17	3413796	3461289	-1
ID196	IPI00983010	CNBD1	ENSG00000176571	8	87878670	88627447	1
ID197	IPI00167918	CNBD1	ENSG00000176571	8	87878670	88627447	1
ID198	IPI00646809	ABCC12	ENSG00000140798	16	48116884	48189929	-1
ID199	IPI00295606	MMP21	ENSG00000154485	10	127455022	127464390	-1
ID200	IPI00103847	TMEM190	ENSG00000160472	19	55888204	55889612	1
ID201	IPI00169377	GAS2L2	ENSG00000132139	17	34071530	34079897	-1
ID202	IPI00215662	KCNG4	ENSG00000168418	16	84255823	84273356	-1
ID203	IPI00168862	PXT1	ENSG00000179165	6	36358328	36410666	-1
ID204	IPI00004272	CACNG5	ENSG00000075429	17	64831235	64881603	1
ID205	NA	LINC00308	ENSG00000184856	21	23470936	23488847	1
ID207	IPI00168792	WFDC11	ENSG00000180083	20	44277202	44298909	-1
ID209	IPI00784013	JAK1	ENSG00000162434	1	65298912	65432187	-1
ID210	IPI00024973	CDC42SE2	ENSG00000158985	5	130581186	130734140	1
ID211	IPI01015814	ACACB	ENSG00000076555	12	109554400	109706031	1
ID212	IPI00974420	RFWD2	ENSG00000143207	1	175913967	176176629	-1
ID213	IPI00013930	STX6	ENSG00000135823	1	180941861	180992047	-1
ID214	IPI00032958	ANLN	ENSG00000011426	7	36429415	36493400	1
ID215	IPI00173647	SPRR4	ENSG00000184148	1	152943142	152945050	1
ID218	IPI00748347	HSH2D	ENSG00000196684	19	16244838	16269386	1
ID219	IPI00289807	TRNT1	ENSG00000072756	3	3168600	3192563	1
ID220	IPI00152253	TMEM163	ENSG00000152128	2	135213330	135476570	-1
ID221	IPI00646885	ARHGAP5	ENSG00000100852	14	32545320	32628934	1
ID222	IPI00106762	HERPUD2	ENSG00000122557	7	35672269	35735181	-1
ID223	IPI00604598	JMJD6	ENSG00000070495	17	74708919	74722866	-1
ID224	IPI00444046	SRCAP	ENSG00000080603	16	30709530	30755602	1
ID225	IPI00418221	MAP3K6	ENSG00000142733	1	27681675	27693383	-1
ID226	IPI00910119	ARSG	ENSG00000263074	HG747_PATCH	66255298	66418847	1
ID227	IPI00217973	ZNF101	ENSG00000181896	19	19779605	19794318	1
ID228	IPI01011622	ZNF101	ENSG00000181896	19	19779605	19794318	1
ID229	IPI00658002	PTPN11	ENSG00000179295	12	112856155	112947717	1
ID230	IPI00062237	KLHDC7B	ENSG00000130487	22	50986462	50989451	1
ID232	IPI00044997	ZNF626	ENSG00000188171	19	20802867	20844402	-1
ID233	IPI00302149	PHC3	ENSG00000173889	3	169804520	169899537	-1
ID234	IPI01025723	IL11RA	ENSG00000137070	9	34650699	34661889	1
ID235	IPI00021975	TNFRSF10A	ENSG00000104689	8	23047965	23082639	-1
ID236	IPI00788704	RFFL	ENSG00000092871	17	33333009	33416338	-1
ID237	IPI00651650	RFFL	ENSG00000092871	17	33333009	33416338	-1
ID238	IPI00375190	HPS4	ENSG00000100099	22	26839389	26879803	-1
ID239	IPI00975581	UHMK1	ENSG00000152332	1	162467041	162499419	1
ID240	IPI00479021	TXNDC2	ENSG00000168454	18	9885763	9889272	1
ID241	IPI01018869	NAV3	ENSG00000067798	12	78224685	78606790	1
ID242	IPI00019966	C5orf22	ENSG00000082213	5	31532373	31555165	1
ID243	NA	PCDHGB7	ENSG00000254122	5	140797427	140892546	1
ID244	IPI00100413	PCDHGB7	ENSG00000254122	5	140797427	140892546	1
ID245	IPI00216719	ERC1	ENSG00000082805	12	1099675	1605099	1
ID246	IPI00329635	FLCN	ENSG00000154803	17	17115526	17140502	-1
ID248	IPI00426267	LRRC7	ENSG00000033122	1	70034081	70617628	1
ID249	IPI00916634	SH2D3C	ENSG00000095370	9	130500596	130541020	-1
ID250	NA	PPP1R3B	ENSG00000173281	8	8993765	9009084	-1
ID251	IPI00002415	PPP1R3B	ENSG00000173281	8	8993765	9009084	-1
ID252	IPI00045928	SLC9A7	ENSG00000065923	X	46464753	46618490	-1
ID253	IPI00042916	IGSF3	ENSG00000143061	1	117117031	117210375	-1
ID254	IPI00219885	RFX6	ENSG00000185002	6	117198375	117253326	1
ID255	IPI00056360	DIRC1	ENSG00000174325	2	189598882	189654831	-1
ID256	IPI00103726	DNAJB7	ENSG00000172404	22	41255553	41258130	-1
ID257	IPI00056311	UCN3	ENSG00000265608	HG871_PATCH	5407201	5416884	1
ID258	IPI00654865	DIP2A	ENSG00000160305	21	47878812	47989926	1
ID259	IPI00045496	USP28	ENSG00000048028	11	113668596	113746292	-1
ID260	IPI00981919	CASC5	ENSG00000137812	15	40886218	40956540	1
ID261	IPI00165616	SENP8	ENSG00000166192	15	72406599	72433311	1
ID262	IPI00185043	GRHL1	ENSG00000134317	2	10085341	10142411	1
ID265	IPI00651633	CASKIN1	ENSG00000167971	16	2227184	2246526	-1
ID266	IPI00855801	CACNA2D4	ENSG00000151062	12	1901123	2028002	-1
ID267	IPI00056495	ARL11	ENSG00000152213	13	50202435	50208008	1
ID268	IPI00658045	SLC2A13	ENSG00000151229	12	40148823	40499891	-1
ID269	IPI00394901	NIPA1	ENSG00000170113	15	23043277	23100005	-1
ID271	IPI00066313	CARD16	ENSG00000204397	11	104912053	104972158	-1
ID272	IPI00021800	CASP1	ENSG00000137752	11	104896170	104972158	-1
ID273	IPI00102808	DUSP19	ENSG00000162999	2	183943287	183964733	1
ID274	IPI00218179	DUSP19	ENSG00000162999	2	183943287	183964733	1
ID275	IPI00060991	CYB5D1	ENSG00000182224	17	7761064	7765600	1
ID276	IPI00289183	NMNAT2	ENSG00000157064	1	183217372	183387737	-1
ID277	IPI00873529	SLC4A1	ENSG00000004939	17	42325753	42345509	-1
ID278	IPI00166776	CREG2	ENSG00000175874	2	101962013	102004057	-1
ID279	IPI00916911	RXFP1	ENSG00000171509	4	159236463	159574524	1
ID280	IPI00964342	SPEF2	ENSG00000152582	5	35617946	35814713	1
ID281	IPI00910412	CEP170	ENSG00000143702	1	243287730	243418650	-1
ID282	NA	DTD1	ENSG00000125821	20	18568537	18744561	1
ID283	IPI00304892	CASC4	ENSG00000166734	15	44580927	44707956	1
ID284	IPI00007792	FGF1	ENSG00000113578	5	141971743	142077617	-1
ID285	IPI00924889	ARPP21	ENSG00000172995	3	35680437	35835988	1
ID286	IPI00169348	RHOXF1	ENSG00000101883	X	119243011	119249847	-1
ID287	IPI00152635	ADAMTS17	ENSG00000140470	15	100511794	100882210	-1
ID288	IPI00442191	ADAMTS17	ENSG00000140470	15	100511794	100882210	-1
ID289	NA	SNHG7	ENSG00000233016	9	139615818	139622636	-1
ID290	IPI00011978	DHH	ENSG00000139549	12	49483204	49488602	-1
ID291	IPI00166119	ABRA	ENSG00000174429	8	107771711	107782473	-1
ID292	IPI00383231	KLHDC1	ENSG00000197776	14	50159823	50219870	1
ID293	IPI00967250	RICTOR	ENSG00000164327	5	38938021	39074510	-1
ID294	NA	PCDHGA4	ENSG00000262576	5	140734768	140892546	1
ID295	IPI00171294	NETO1	ENSG00000166342	18	70409549	70535381	-1
ID296	IPI00013010	WWP2	ENSG00000198373	16	69796209	69975644	1
ID297	IPI00160342	ST7L	ENSG00000007341	1	113066140	113163447	-1
ID298	IPI00218412	ST7L	ENSG00000007341	1	113066140	113163447	-1
ID299	IPI00102828	C2orf15	ENSG00000241962	2	99757948	99939204	1
ID300	IPI00927649	KCNH8	ENSG00000183960	3	19189946	19577138	1
ID301	IPI00917864	MCF2L	ENSG00000126217	13	113548692	113754053	1
ID302	IPI00966547	SLCO6A1	ENSG00000205359	5	101707486	101834720	-1
ID303	IPI00065055	PP2D1	ENSG00000183977	3	20021453	20053822	-1
ID304	NA	KLC3	ENSG00000104892	19	45836692	45854778	1
ID305	NA	CIB3	ENSG00000141977	19	16272179	16284336	-1
ID306	IPI01014971	CIB3	ENSG00000141977	19	16272179	16284336	-1
ID307	IPI00470388	CADM2	ENSG00000175161	3	85008132	86123579	1
ID308	IPI00043562	C9orf66	ENSG00000183784	9	213108	215893	-1
ID309	IPI00328781	HDAC9	ENSG00000048052	7	18126572	19042039	1
ID310	IPI00940713	SLC16A11	ENSG00000174326	17	6944949	6947242	-1
ID311	IPI00916413	TMEM67	ENSG00000164953	8	94767072	94831462	1
ID312	IPI00916545	TMEM67	ENSG00000164953	8	94767072	94831462	1
ID313	IPI00160316	HS6ST2	ENSG00000171004	X	131760044	132095423	-1
ID314	IPI00166909	CAMKK1	ENSG00000004660	17	3763609	3798185	-1
ID315	IPI00924883	ZNF625	ENSG00000257591	19	12251032	12267546	-1
ID316	IPI00184499	ZNF563	ENSG00000188868	19	12428291	12444534	-1
ID317	NA	LIN9	ENSG00000183814	1	226418850	226497570	-1
ID318	IPI00746061	CLEC4D	ENSG00000166527	12	8662071	8674962	1
ID319	IPI00329001	CLEC4D	ENSG00000166527	12	8662071	8674962	1
ID320	IPI00644996	SLC25A27	ENSG00000153291	6	46620678	46645930	1
ID321	IPI00169389	GPRC6A	ENSG00000173612	6	117113248	117150200	-1
ID322	IPI00651626	RAET1E	ENSG00000164520	6	150204511	150219238	-1
ID323	IPI01010422	SLC44A5	ENSG00000137968	1	75667816	76076801	-1
ID324	IPI01015884	SLC44A5	ENSG00000137968	1	75667816	76076801	-1
ID326	NA	ZNF781	ENSG00000196381	19	38158652	38183223	-1
ID327	IPI00168877	HELB	ENSG00000127311	12	66696325	66737423	1
ID328	IPI00019004	SEC62	ENSG00000008952	3	169684423	169716161	1
ID329	IPI00220272	TRDN	ENSG00000186439	6	123537483	123958238	-1
ID330	IPI00103544	SOCS4	ENSG00000180008	14	55493948	55516206	1
ID331	IPI00853200	C8orf31	ENSG00000177335	8	144120626	144141359	1
ID332	IPI00217083	ZNF547	ENSG00000152433	19	57874845	57890933	1
ID333	IPI00977461	SIM1	ENSG00000112246	6	100832891	100912805	-1
ID334	IPI00295988	PROM2	ENSG00000155066	2	95940201	95957056	1
ID335	IPI00969398	TLR4	ENSG00000136869	9	120466610	120479149	1
ID336	IPI00984437	TSNARE1	ENSG00000171045	8	143293441	143484601	-1
ID337	NA	ABHD11	ENSG00000106077	7	73150424	73153197	-1
ID338	IPI00479445	CAPN13	ENSG00000162949	2	30945637	31043408	-1
ID339	NA	STMN1	ENSG00000117632	1	26210672	26233482	-1
ID340	IPI00171090	TIRAP	ENSG00000150455	11	126152960	126168740	1
ID342	IPI00064982	SIGLEC10	ENSG00000142512	19	51913275	51921057	-1
ID343	IPI00377098	ADAMTSL1	ENSG00000178031	9	18473892	18910948	1
ID344	NA	RFX4	ENSG00000111783	12	106976685	107156581	1
ID345	IPI00044004	WFIKKN1	ENSG00000127578	16	679239	684116	1
ID346	IPI00914975	SENP1	ENSG00000079387	12	48436681	48500091	-1
ID347	IPI00152493	KLF14	ENSG00000266265	HG1308_PATCH	130394889	130397715	-1
ID348	IPI00478223	NXNL2	ENSG00000130045	9	91150016	91199189	1
ID349	IPI00027686	BRS3	ENSG00000102239	X	135570046	135575939	1
ID350	NA	TMX3	ENSG00000166479	18	66340925	66382535	-1
ID351	IPI00790513	ZNF396	ENSG00000186496	18	32946661	32957301	-1
ID352	IPI00981879	SLC26A7	ENSG00000147606	8	92221722	92410378	1
ID353	IPI00923429	SNX18	ENSG00000178996	5	53813589	53842415	1
ID354	IPI00166674	FBXO39	ENSG00000177294	17	6679542	6700420	1
ID355	IPI00847164	B3GNT6	ENSG00000262264	HG414_PATCH	76745442	76753017	1
ID356	IPI00977159	B3GNT6	ENSG00000262264	HG414_PATCH	76745442	76753017	1
ID357	IPI00640432	DENND1B	ENSG00000213047	1	197473878	197744826	-1
ID358	IPI00984314	ZNF619	ENSG00000177873	3	40518604	40531727	1
ID359	NA	ICK	ENSG00000112144	6	52866077	52926600	-1
ID360	IPI00980742	FAM71D	ENSG00000172717	14	67656110	67695267	1
ID361	IPI00945022	BCL2L14	ENSG00000121380	12	12202778	12364018	1
ID362	IPI00218046	HS6ST3	ENSG00000185352	13	96743093	97485671	1
ID363	IPI00059987	SLC26A1	ENSG00000145217	4	972861	987228	-1
ID364	IPI00927773	CLDN15	ENSG00000106404	7	100875373	100882101	-1
ID365	IPI00981312	RAB42	ENSG00000188060	1	28918712	28921955	1
ID366	IPI00830017	PTCHD1	ENSG00000165186	X	23352133	23422489	1
ID368	IPI00168043	ZSCAN4	ENSG00000180532	19	58180303	58190520	1
ID369	IPI00978651	VWA5B1	ENSG00000158816	1	20617412	20681387	1
ID370	IPI00981923	VWA5B1	ENSG00000158816	1	20617412	20681387	1
ID371	NA	LINC00311	ENSG00000179219	16	85316564	85319569	1
ID372	IPI00032009	HTR6	ENSG00000158748	1	19991780	20006055	1
ID373	IPI00297989	MAGEB6	ENSG00000176746	X	26210557	26213763	1
ID374	IPI00741046	TCEB3C	ENSG00000183791	18	44554573	44556449	-1
ID375	NA	RUSC1-AS1	ENSG00000225855	1	155286654	155293967	-1
ID376	IPI00157910	CACNG6	ENSG00000130433	19	54495542	54515923	1
ID377	IPI01015823	IFLTD1	ENSG00000152936	12	25562241	25801513	-1
ID378	NA	CIRBP-AS1	ENSG00000267493	19	1268165	1270240	-1
ID379	IPI00966560	AXDND1	ENSG00000162779	1	179334855	179523870	1
ID380	NA	ASMTL-AS1	ENSG00000236017	X	1520662	1532921	1
ID381	IPI00295254	CD200R1	ENSG00000163606	3	112640056	112693969	-1
